id,key,value,type
57533371,name,恵比寿,regular
57533371,is_in,"Tokyo, Japan, Shibuya-ku",regular
57533371,place,quarter,regular
57533371,en,Ebisu,name
57533371,ja,恵比寿,name
57533371,ru,Эбису,name
57533371,ja_rm,Ebisu,name
57533371,ja_kana,えびす,name
132109053,created_by,JOSM,regular
132109066,created_by,JOSM,regular
132109213,highway,traffic_signals,regular
158030016,name,表参道,regular
158030016,source,survey,regular
158030016,highway,traffic_signals,regular
158030029,name,宮下公園,regular
158030029,highway,traffic_signals,regular
158030491,name,新宿七丁目,regular
158030491,highway,traffic_signals,regular
158030491,en,Shinjuku 7,name
158030491,ja,新宿七丁目,name
158030491,ja_rm,Shinjuku nanachōme,name
158030491,ja_kana,しんじゅくななちょうめ,name
190187566,highway,traffic_signals,regular
190187566,name,杏林大学病院北,regular
190187566,en,Kyorin Daigakubyoin Kita,name
190187566,ja,杏林大学病院北,name
190187652,highway,traffic_signals,regular
190187652,name,新川交番前,regular
190187652,en,Shinkawa Koban,name
190187652,ja,新川交番前,name
191499365,name,成子坂下,regular
191499365,highway,traffic_signals,regular
191499365,en,Narukozakashita,name
191499365,ja,成子坂下,name
191500702,highway,traffic_signals,regular
191500712,bus,yes,regular
191500712,name,笹塚駅,regular
191500712,operator,京王バス東、東京都交通局、小田急バス、小田急シティバス,regular
191500712,public_transport,stop_position,regular
191500720,highway,traffic_signals,regular
191504250,name,新宿大ガード西,regular
191504250,highway,traffic_signals,regular
196838866,maxspeed,95,regular
196838866,name,大久保,regular
196838866,en,Okubo,name
196838866,ja,大久保,name
196838866,ja_kana,おおくぼ,name
196838866,ja_rm,Ōkubo,name
196838866,ru,Окубо,name
196838866,operator,東日本旅客鉄道,regular
196838866,public_transport,station,regular
196838866,railway,station,regular
196838866,wikidata,Q116259,regular
196838866,wikipedia,ja:大久保駅 (東京都),regular
196838894,maxspeed,95,regular
196838894,name,東中野,regular
196838894,en,Higashi-Nakano,name
196838894,ja,東中野,name
196838894,ja_kana,ひがしなかの,name
196838894,ja_rm,Higashi Nakano,name
196838894,ru,Хигаси Накано,name
196838894,public_transport,station,regular
196838894,railway,station,regular
196838894,wikidata,Q800921,regular
196838894,wikipedia,ja:東中野駅,regular
196978962,name,渋谷橋,regular
196978962,highway,traffic_signals,regular
196978962,en,Shibuyabashi,name
196978962,ja,渋谷橋,name
196978962,ja_rm,Shibuya Bashi,name
196978962,ja_kana,しぶやばし,name
206762700,highway,traffic_signals,regular
206762732,name,砧二丁目,regular
206762732,highway,traffic_signals,regular
206762732,en,Kinuta 2,name
206762732,ja,砧二丁目,name
236579696,name,新大久保,regular
236579696,en,Shin-Okubo,name
236579696,fr,La nouvelle grande vieille histoire de garantie,name
236579696,ja_kana,しんおおくぼ,name
236579696,ja_rm,Shin-Ōkubo,name
236579696,ru,Син-Окубо,name
236579696,operator,東日本旅客鉄道,regular
236579696,public_transport,station,regular
236579696,railway,station,regular
236579696,wheelchair,yes,regular
236579696,wikidata,Q589599,regular
236579696,wikipedia,ja:新大久保駅,regular
241817823,ref,TJ04,regular
241817823,url,http://www.tobu.co.jp/station/info/7203.html,regular
241817823,name,大山,regular
241817823,en,Oyama,name
241817823,ja,大山,name
241817823,ru,Ояма,name
241817823,railway,station,regular
241817823,operator,東武鉄道,regular
241817823,wikidata,Q8081809,regular
241817823,wikipedia,ja:大山駅 (東京都),regular
241817823,ja_rm,Ōyama,name
241817823,ja_kana,おおやま,name
241817823,public_transport,station,regular
241817928,ref,TJ01,regular
241817928,name,池袋,regular
241817928,en,Ikebukuro,name
241817928,fr,Le sac de l'étang,name
241817928,ja,池袋,name
241817928,ru,Икебукуро,name
241817928,railway,station,regular
241817928,wikidata,Q173919,regular
241817928,wikipedia,ja:池袋駅,regular
241817928,ja_rm,Ikebukuro,name
241817928,wheelchair,yes,regular
241817928,ja_kana,いけぶくろ,name
241818004,created_by,JOSM,regular
241818066,created_by,JOSM,regular
241895769,source,Bing,regular
241895770,created_by,JOSM,regular
241895771,created_by,JOSM,regular
241896099,name,渋谷,regular
241896099,en,Shibuya,name
241896099,fr,Shibuya,name
241896099,ja,渋谷,name
241896099,ja_rm,Shibuya,name
241896099,ko,시부야,name
241896099,ru,Сибуя,name
241896099,zh,涩谷,name
241896099,railway,station,regular
241896099,wheelchair,yes,regular
241896099,wikidata,Q428811,regular
241896099,wikipedia,ja:渋谷駅,regular
243887360,ref,TJ06,regular
243887360,name,ときわ台,regular
243887360,en,Tokiwadai,name
243887360,ja,ときわ台,name
243887360,ru,Токивадай,name
243887360,railway,station,regular
243887360,operator,東武鉄道,regular
243887360,wikidata,Q7813626,regular
243887360,wikipedia,ja:ときわ台駅 (東京都),regular
243887360,ja_rm,Tokiwadai,name
243887360,ja_kana,ときわだい,name
243887360,public_transport,station,regular
243887366,ref,TJ05,regular
243887366,name,中板橋,regular
243887366,en,Naka-itabashi,name
243887366,ja,中板橋,name
243887366,ru,Нака-Итабаси,name
243887366,railway,station,regular
243887366,operator,東武鉄道,regular
243887366,wikidata,Q6960085,regular
243887366,wikipedia,ja:中板橋駅,regular
243887366,ja_rm,Naka Itabashi,name
243887366,ja_kana,なかいたばし,name
243887366,public_transport,station,regular
243887382,created_by,JOSM,regular
243887391,name,中目黒,regular
243887391,en,Naka-meguro,name
243887391,fr,Nakameguro,name
243887391,ja,中目黒,name
243887391,ja_rm,Naka Meguro,name
243887391,ru,Нака Мэгуро,name
243887391,operator,東京急行電鉄;東京地下鉄,regular
243887391,public_transport,station,regular
243887391,railway,station,regular
243887391,ref,TY03,regular
243887391,wheelchair,yes,regular
243887391,wikidata,Q1132605,regular
243887391,wikipedia,ja:中目黒駅,regular
243887414,name,祐天寺,regular
243887414,en,Yutenji,name
243887414,ja,祐天寺,name
243887414,ja_kana,ゆうてんじ,name
243887414,ja_rm,Yūtenji,name
243887414,operator,東京急行電鉄,regular
243887414,public_transport,station,regular
243887414,railway,station,regular
243887414,ref,TY04,regular
243887414,wikidata,Q3178446,regular
243887414,wikipedia,ja:祐天寺駅,regular
244091670,name,鉢山町交番前,regular
244091670,highway,traffic_signals,regular
244091670,en,Hachiyamacho Koban,name
244091670,ja,鉢山町交番前,name
244091677,name,都立一商前,regular
244091677,highway,traffic_signals,regular
244091677,en,Toritsu Issho,name
244091677,ja,都立一商前,name
249688630,created_by,JOSM,regular
250652228,name,勤労福祉会館前,regular
250652228,highway,traffic_signals,regular
250652228,en,Labor and Welfare Hall,name
250652228,ja,勤労福祉会館前,name
250652233,name,神南小学校下,regular
250652233,source,survey,regular
250652233,highway,traffic_signals,regular
250668611,name,Bunkamura,regular
250668611,tourism,museum,regular
250668611,wheelchair,yes,regular
250668627,name,東京都写真美術館,regular
250668627,en,Tokyo Metropolitan Museum of Photography,name
250668627,ja,東京都写真美術館,name
250668627,tourism,museum,regular
251009349,ele,61.000000,regular
251009349,name,WP0014,regular
251009349,wpt_description,WP0014,regular
251055427,name,Watari-um Museum of Contemporary Art,regular
251055427,tourism,museum,regular
251055430,name,Japan Traditional Crafts Centre,regular
251055430,tourism,museum,regular
251329052,highway,traffic_signals,regular
251329059,name,南長崎一丁目,regular
251329059,highway,traffic_signals,regular
251329059,en,Minaminagasaki 1,name
251329325,source,Bing 2010,regular
251329325,highway,crossing,regular
251717420,name,すずらん通り入口,regular
251717420,source,Bing 2007,regular
251717420,highway,traffic_signals,regular
251717420,en,Suzurandori Ent.,name
251717420,ja,すずらん通り入口,name
251860133,name,恵比寿駅東口,regular
251860133,source,survey 2014,regular
251860133,highway,traffic_signals,regular
251860133,en,East Exit of Ebisu Sta.,name
251860133,ja,恵比寿駅東口,name
251860136,name,恵比寿一丁目,regular
251860136,source,survey 2014,regular
251860136,highway,traffic_signals,regular
251860136,en,Ebisu 1,name
251860136,ja,恵比寿一丁目,name
251860142,name,恵比寿南,regular
251860142,highway,traffic_signals,regular
251860142,en,Ebisu Minami,name
251860142,ja,恵比寿南,name
251860144,highway,traffic_signals,regular
251861004,name,Autobacs Nakameguro,regular
251861004,amenity,car_rental,regular
251866469,name,中目黒立体交差,regular
251866469,highway,traffic_signals,regular
251866469,en,Nakameguro Underpass,name
251866469,ja,中目黒立体交差,name
252052891,name,高戸橋,regular
252052891,highway,traffic_signals,regular
252052891,en,Takadobashi,name
252052891,ja,高戸橋,name
252052891,ja_rm,Takadobashi,name
252052944,name,馬場口,regular
252052944,highway,traffic_signals,regular
252053185,source,Bing 2010,regular
252053185,highway,crossing,regular
252053206,source,Bing 2010,regular
252053206,highway,crossing,regular
252053210,source,Bing 2010,regular
252053210,bicycle,designated,regular
252053210,highway,crossing,regular
252053413,name,本壽院前,regular
252053413,highway,traffic_signals,regular
252100585,name,妙正寺西,regular
252100585,highway,traffic_signals,regular
252100587,highway,traffic_signals,regular
252100616,name,四面道,regular
252100616,highway,traffic_signals,regular
252100616,en,Shimendo,name
252100616,ja,四面道,name
252100619,source,Bing 2010,regular
252100619,bicycle,designated,regular
252100619,highway,crossing,regular
252100973,name,荻窪小学校北,regular
252100973,highway,traffic_signals,regular
252100973,ja,荻窪小学校北,name
252101217,name,宮前四丁目,regular
252101217,source,Bing 2010,regular
252101217,highway,traffic_signals,regular
252101217,en,Miyamae 4,name
252101217,ja,宮前四丁目,name
252101426,highway,traffic_signals,regular
252101427,name,久我山四丁目,regular
252101427,highway,traffic_signals,regular
252101427,en,Kugayama 4,name
252101632,name,三鷹台駅北,regular
252101632,highway,traffic_signals,regular
252101632,en,Mitakadai Sta. N.,name
252101632,ja_rm,Mitakadai Eki Kita,name
252101775,highway,traffic_signals,regular
252101775,name,牟礼二丁目,regular
252101775,en,Mure 2,name
252101775,ja,牟礼二丁目,name
252101852,highway,traffic_signals,regular
252101862,highway,traffic_signals,regular
252101862,name,三鷹一小前,regular
252101862,en,Mitaka Issho,name
252102176,highway,traffic_signals,regular
252102176,name,新川交番前,regular
252102176,en,Shinkawa Koban,name
252102176,ja,新川交番前,name
252102232,highway,traffic_signals,regular
252102232,name,杏林大学病院北,regular
252102232,en,Kyorin Daigakubyoin Kita,name
252102232,ja,杏林大学病院北,name
252174760,highway,motorway_junction,regular
252174760,name,熊野町JCT,regular
252174760,source,Bing,regular
252674152,name,東電電力館前,regular
252674152,highway,traffic_signals,regular
252674261,name,井ノ頭通り入口,regular
252674261,highway,traffic_signals,regular
252674320,name,神南郵便局前,regular
252674320,highway,traffic_signals,regular
252674320,en,Jin-nan Post Office,name
252674320,ja,神南郵便局前,name
252674360,name,NHKセンター下,regular
252674360,highway,traffic_signals,regular
252674360,en,NHK Center,name
252675438,name,観世能楽堂,regular
252675438,en,Kanze No Theater,name
252675438,tourism,attraction,regular
252675826,name,道玄坂二丁目,regular
252675826,highway,traffic_signals,regular
252675826,en,Dogenzaka 2-chome,name
252675826,ja,道玄坂二丁目,name
252675828,highway,traffic_signals,regular
252675828,name,道玄坂下,regular
252675828,en,Dogenzaka shita,name
252675828,ja,道玄坂下,name
252675828,traffic_signals,signal,regular
252677192,highway,crossing,regular
252677192,crossing,traffic_signals,regular
252677197,highway,traffic_signals,regular
252677329,name,代官山交番前,regular
252677329,highway,traffic_signals,regular
252677329,en,Daikanyama Koban,name
252677329,ja,代官山交番前,name
252677329,crossing,traffic_signals,regular
252677329,crossing_ref,zebra,regular
252677329,ja_kana,だいかんやまこうばんまえ,name
252683741,highway,traffic_signals,regular
252683741,name,神宮前六丁目,regular
252683801,name,宮益坂下,regular
252683801,source,survey,regular
252683801,highway,traffic_signals,regular
252684150,name,中の橋交差点,regular
252684150,highway,traffic_signals,regular
252684150,en,Nakanobashikosaten,name
252684150,ja,中の橋交差点,name
252684152,name,高井戸西交番前,regular
252684152,highway,traffic_signals,regular
252684152,en,Takaidonishi Koban,name
252684152,ja,高井戸西交番前,name
252684159,name,川南,regular
252684159,highway,traffic_signals,regular
252684161,name,桃二小,regular
252684161,highway,traffic_signals,regular
252684177,name,順天堂練馬病院,regular
252684177,highway,traffic_signals,regular
252684178,highway,traffic_signals,regular
252684246,name,谷原,regular
252684246,highway,traffic_signals,regular
252684246,en,Yahara,name
252684246,ja,谷原,name
252684246,ja_rm,Yahara,name
252684246,ja_kana,やはら,name
252835043,name,宮益坂上,regular
252835043,source,Bing 2010,regular
252835043,highway,traffic_signals,regular
252835043,ja,宮益坂上,name
252835043,ja_rm,Miyamasuzaka-ue,name
252835332,name,南平台,regular
252835332,highway,traffic_signals,regular
252835332,en,Nanpeidai,name
252835332,ja,南平台,name
252835340,source,Bing,regular
252835340,highway,traffic_signals,regular
253116327,highway,traffic_signals,regular
253116332,source,Bing 2010,regular
253116332,highway,crossing,regular
253116337,name,平和台駅前,regular
253116337,highway,traffic_signals,regular
253116337,en,Heiwadai Station,name
253116337,ja,平和台駅前,name
253116436,source,Bing 2010,regular
253116436,highway,crossing,regular
253116439,highway,traffic_signals,regular
253116544,highway,traffic_signals,regular
253116548,name,方南小学校前,regular
253116548,source,Bing 2010,regular
253116548,highway,traffic_signals,regular
253116548,en,Honanshogakko,name
253116548,ja,方南小学校前,name
253716290,source,Bing 2010,regular
253716290,bicycle,designated,regular
253716290,highway,crossing,regular
253716292,highway,traffic_signals,regular
253885251,name,江原三丁目西,regular
253885251,highway,traffic_signals,regular
253885256,highway,traffic_signals,regular
253885506,source,Bing 2010,regular
253885506,highway,crossing,regular
253885516,name,高戸橋,regular
253885516,highway,traffic_signals,regular
253885516,en,Takadobashi,name
253885516,ja,高戸橋,name
253885516,ja_rm,Takadobashi,name
253912073,name,調布警察署前,regular
253912073,source,survey,regular
253912073,highway,traffic_signals,regular
253912073,en,Chofu Police Station,name
253912073,ja,調布警察署前,name
253912075,name,旧甲州街道入口,regular
253912075,highway,traffic_signals,regular
253912075,en,Kyu Koshukaido Entrance,name
253912075,ja,旧甲州街道入口,name
254236855,name,練馬北町陸橋西,regular
254236855,highway,traffic_signals,regular
254236855,en,Nerima Kitamachirikkyo West,name
254236855,ja,練馬北町陸橋西,name
254237778,name,武蔵野病院前,regular
254237778,highway,traffic_signals,regular
254241540,highway,traffic_signals,regular
254241542,highway,traffic_signals,regular
254242579,highway,traffic_signals,regular
254242583,highway,traffic_signals,regular
254243472,source,Bing 2010,regular
254243472,highway,crossing,regular
254243475,source,Bing 2010,regular
254243475,highway,crossing,regular
254243479,highway,traffic_signals,regular
254243480,source,Bing 2010,regular
254243480,highway,crossing,regular
254243490,highway,traffic_signals,regular
256000430,name,渋谷二丁目,regular
256000430,highway,traffic_signals,regular
256180209,name,宮益坂上,regular
256180209,source,Bing 2010,regular
